"advertiser_id","product_id","score","fecha"
"03KNVBO915KY2ZPGA57J","1f2p9m","0","2025-05-21T00:00:00Z"
"03KNVBO915KY2ZPGA57J","1lsjl2","0","2025-05-21T00:00:00Z"
"03KNVBO915KY2ZPGA57J","2kr3c3","0","2025-05-21T00:00:00Z"
"03KNVBO915KY2ZPGA57J","4bu13h","0","2025-05-21T00:00:00Z"
"03KNVBO915KY2ZPGA57J","4hzw8j","0","2025-05-21T00:00:00Z"
"03KNVBO915KY2ZPGA57J","6qe7la","0","2025-05-21T00:00:00Z"
"03KNVBO915KY2ZPGA57J","76kb18","0","2025-05-21T00:00:00Z"
"03KNVBO915KY2ZPGA57J","7ncz7f","0","2025-05-21T00:00:00Z"
"03KNVBO915KY2ZPGA57J","7rbqhz","0","2025-05-21T00:00:00Z"
"03KNVBO915KY2ZPGA57J","8y4tny","0","2025-05-21T00:00:00Z"
"03KNVBO915KY2ZPGA57J","ar4i1s","0","2025-05-21T00:00:00Z"
"03KNVBO915KY2ZPGA57J","dbghr1","0","2025-05-21T00:00:00Z"
"03KNVBO915KY2ZPGA57J","dbljzg","0","2025-05-21T00:00:00Z"
"03KNVBO915KY2ZPGA57J","djcjem","0","2025-05-21T00:00:00Z"
"03KNVBO915KY2ZPGA57J","dykr16","0","2025-05-21T00:00:00Z"
"03KNVBO915KY2ZPGA57J","ejxvw7","0","2025-05-21T00:00:00Z"
"03KNVBO915KY2ZPGA57J","eopzi1","0","2025-05-21T00:00:00Z"
"03KNVBO915KY2ZPGA57J","ey09dh","0","2025-05-21T00:00:00Z"
"03KNVBO915KY2ZPGA57J","f6h2nn","0","2025-05-21T00:00:00Z"
"03KNVBO915KY2ZPGA57J","f7zwfs","0","2025-05-21T00:00:00Z"
"03KNVBO915KY2ZPGA57J","ffkh8f","0","2025-05-21T00:00:00Z"
"03KNVBO915KY2ZPGA57J","fmt7fh","0","2025-05-21T00:00:00Z"
"03KNVBO915KY2ZPGA57J","fw4jff","0","2025-05-21T00:00:00Z"
"03KNVBO915KY2ZPGA57J","hc0obr","0","2025-05-21T00:00:00Z"
"03KNVBO915KY2ZPGA57J","iaudmp","0","2025-05-21T00:00:00Z"
"03KNVBO915KY2ZPGA57J","ir7m6o","0","2025-05-21T00:00:00Z"
"03KNVBO915KY2ZPGA57J","iruvnk","0","2025-05-21T00:00:00Z"
"03KNVBO915KY2ZPGA57J","jheia9","0","2025-05-21T00:00:00Z"
"03KNVBO915KY2ZPGA57J","jqen7j","0","2025-05-21T00:00:00Z"
"03KNVBO915KY2ZPGA57J","ju3ix9","0","2025-05-21T00:00:00Z"
"03KNVBO915KY2ZPGA57J","k45qry","0","2025-05-21T00:00:00Z"
"03KNVBO915KY2ZPGA57J","k8vzgo","0","2025-05-21T00:00:00Z"
"03KNVBO915KY2ZPGA57J","kj03qz","0","2025-05-21T00:00:00Z"
"03KNVBO915KY2ZPGA57J","lladqk","0","2025-05-21T00:00:00Z"
"03KNVBO915KY2ZPGA57J","n6sqm9","0","2025-05-21T00:00:00Z"
"03KNVBO915KY2ZPGA57J","ooxs5b","0","2025-05-21T00:00:00Z"
